Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5
30/03/2023,13,17,20,21,30
31/03/2023,8,9,11,18,21
01/04/2023,2,15,20,26,27
02/04/2023,3,8,20,28,29
03/04/2023,3,16,18,29,30
04/04/2023,8,10,25,27,30
05/04/2023,6,7,9,14,25
06/04/2023,1,8,16,21,23
07/04/2023,6,10,12,14,24
08/04/2023,2,3,11,26,29
09/04/2023,2,12,13,25,26
10/04/2023,3,14,21,29,30
11/04/2023,9,13,16,19,25
12/04/2023,11,14,17,23,24
13/04/2023,10,18,20,29,30
14/04/2023,7,9,21,22,24
15/04/2023,6,12,14,20,26
16/04/2023,2,6,12,14,29
17/04/2023,5,6,18,21,25
18/04/2023,2,9,14,17,29
19/04/2023,5,11,15,19,28
20/04/2023,3,8,13,22,24
21/04/2023,4,19,20,23,29
22/04/2023,10,15,23,27,30
23/04/2023,12,13,17,26,29
24/04/2023,3,8,14,20,25
25/04/2023,1,12,13,14,25
26/04/2023,5,7,8,15,24
27/04/2023,3,7,15,26,30
28/04/2023,13,14,16,26,30
29/04/2023,7,15,20,28,30
30/04/2023,3,4,7,10,19
01/05/2023,7,13,16,23,24
02/05/2023,8,9,13,18,25
03/05/2023,1,7,12,19,24
04/05/2023,1,6,14,17,27
05/05/2023,8,18,21,25,28
06/05/2023,2,4,9,15,26
07/05/2023,1,11,12,14,23
08/05/2023,1,6,11,25,28
09/05/2023,9,13,16,20,25
10/05/2023,1,9,17,20,27
11/05/2023,9,16,19,25,28
12/05/2023,6,12,13,20,25
13/05/2023,13,25,27,29,30
14/05/2023,1,13,18,24,29
15/05/2023,7,17,21,23,30
16/05/2023,6,9,12,16,18
17/05/2023,4,7,19,21,27
18/05/2023,3,4,19,20,30
19/05/2023,9,10,16,22,29
20/05/2023,1,7,8,12,14
21/05/2023,2,4,18,20,23
22/05/2023,5,9,19,20,29
23/05/2023,6,11,18,25,26
24/05/2023,3,13,14,17,26
25/05/2023,9,13,14,18,21
26/05/2023,2,9,17,19,29
27/05/2023,4,9,12,15,26
28/05/2023,5,9,15,22,30
29/05/2023,3,12,18,21,23
30/05/2023,6,8,10,20,28
31/05/2023,5,7,12,15,22
01/06/2023,3,7,8,16,28
02/06/2023,1,4,11,22,27
03/06/2023,2,4,8,15,23
04/06/2023,9,10,17,18,25
05/06/2023,6,17,19,21,30
06/06/2023,16,18,19,21,27
07/06/2023,5,6,21,27,30
08/06/2023,2,5,8,14,25
09/06/2023,3,5,17,18,23
10/06/2023,1,8,9,15,17
11/06/2023,9,18,22,27,30
12/06/2023,8,17,21,27,30
13/06/2023,6,14,15,17,19
14/06/2023,3,13,18,29,30
15/06/2023,2,4,10,20,30
16/06/2023,1,4,16,18,26
17/06/2023,2,14,15,25,27
18/06/2023,5,8,14,15,16
19/06/2023,1,2,8,9,30
20/06/2023,1,17,18,20,28
21/06/2023,7,14,23,25,27
22/06/2023,6,11,16,18,27
23/06/2023,5,8,13,21,22
24/06/2023,4,15,19,21,23
25/06/2023,3,5,6,18,21
26/06/2023,3,5,6,8,26
27/06/2023,4,9,13,16,24
28/06/2023,2,3,5,16,27
29/06/2023,2,7,14,17,21
30/06/2023,6,12,13,22,23
01/07/2023,8,9,10,14,22
02/07/2023,2,8,14,25,28
03/07/2023,2,17,20,21,27
04/07/2023,2,6,22,23,28
05/07/2023,6,7,8,10,11
06/07/2023,10,11,15,19,21
07/07/2023,2,4,19,21,25
08/07/2023,4,11,15,21,25
09/07/2023,8,10,18,23,26
10/07/2023,4,15,24,28,30
11/07/2023,2,14,16,24,30
12/07/2023,11,24,25,26,29
13/07/2023,2,14,16,28,29
14/07/2023,10,11,15,20,22
15/07/2023,1,2,3,24,25
16/07/2023,2,14,15,20,24
17/07/2023,1,4,11,20,22
